Max molecule size,LSTM hidden size,da,r,Learning rate,Loss function,MSE
70,450,100,30,0.0001,mse,0.9848
70,300,80,30,0.0001,mse,0.9883
70,300,20,10,0.0001,mse,0.9951
70,100,100,30,0.0001,mse,1.0049
70,150,100,10,0.0001,mse,1.0135
70,300,100,10,0.0001,mse,1.0151
70,100,20,20,0.0001,mse,1.0176
70,300,80,10,0.0001,mse,1.0185
70,450,40,15,0.0001,mse,1.0218
70,450,80,10,0.0001,mse,1.0224
70,100,40,30,0.0001,mse,1.0276
70,300,20,20,0.0001,mse,1.0311
70,150,100,20,0.0001,mse,1.0313
70,450,40,50,0.0001,mse,1.0388
70,300,100,30,0.0001,mse,1.0396
70,100,20,50,0.0001,mse,1.0400
60,300,40,5,0.0001,mse,1.0406
70,450,20,10,0.0001,mse,1.0433
60,450,200,20,0.0001,mse,1.0444
70,300,60,5,0.0001,mse,1.0458
70,450,60,20,0.0001,mse,1.0468
70,450,100,20,0.0001,mse,1.0481
70,300,60,50,0.0001,mse,1.0485
60,150,80,10,0.0001,mse,1.0489
70,150,200,10,0.0001,mse,1.0497
70,150,80,15,0.0001,mse,1.0503
60,300,100,20,0.0001,mse,1.0508
60,150,100,30,0.0001,mse,1.0517
70,300,20,30,0.0001,mse,1.0521
60,450,60,10,0.0001,mse,1.0530
70,150,20,5,0.0001,mse,1.0542
70,300,60,20,0.0001,mse,1.0554
70,150,100,50,0.0001,mse,1.0573
60,450,80,50,0.0001,mse,1.0575
70,100,200,20,0.0001,mse,1.0596
70,100,100,50,0.0001,mse,1.0611
70,300,200,10,0.0001,mse,1.0617
70,300,40,50,0.0001,mse,1.0623
60,150,200,10,0.0001,mse,1.0627
70,100,60,20,0.0001,mse,1.0636
70,150,20,10,0.0001,mse,1.0655
70,300,200,20,0.0001,mse,1.0659
70,150,100,30,0.0001,mse,1.0664
70,100,60,15,0.0001,mse,1.0668
60,300,100,10,0.0001,mse,1.0669
70,100,80,30,0.0001,mse,1.0669
70,150,60,50,0.0001,mse,1.0686
70,300,40,10,0.0001,mse,1.0690
60,450,100,50,0.0001,mse,1.0696
70,100,40,20,0.0001,mse,1.0699
60,150,20,10,0.0001,mse,1.0703
60,450,20,15,0.0001,mse,1.0705
70,150,200,30,0.0001,mse,1.0708
70,150,20,30,0.0001,mse,1.0717
60,150,40,50,0.0001,mse,1.0724
70,150,20,50,0.0001,mse,1.0727
70,150,80,10,0.0001,mse,1.0728
70,150,60,15,0.0001,mse,1.0733
70,150,200,50,0.0001,mse,1.0737
70,450,20,20,0.0001,mse,1.0737
70,450,200,10,0.0001,mse,1.0744
70,100,200,15,0.0001,mse,1.0750
70,100,100,15,0.0001,mse,1.0774
70,100,40,5,0.0001,mse,1.0779
70,150,80,5,0.0001,mse,1.0783
70,100,80,50,0.0001,mse,1.0799
60,100,200,20,0.0001,mse,1.0801
60,450,100,15,0.0001,mse,1.0807
70,100,100,20,0.0001,mse,1.0807
70,300,80,15,0.0001,mse,1.0809
60,300,200,15,0.0001,mse,1.0813
70,300,200,15,0.0001,mse,1.0816
70,450,20,5,0.0001,mse,1.0819
70,150,80,20,0.0001,mse,1.0826
70,450,80,50,0.0001,mse,1.0827
60,450,40,15,0.0001,mse,1.0830
60,300,60,20,0.0001,mse,1.0834
70,450,40,20,0.0001,mse,1.0837
70,100,80,20,0.0001,mse,1.0844
70,450,40,10,0.0001,mse,1.0856
60,150,80,50,0.0001,mse,1.0862
70,150,100,5,0.0001,mse,1.0862
60,300,200,10,0.0001,mse,1.0864
70,300,40,15,0.0001,mse,1.0869
70,100,40,50,0.0001,mse,1.0877
70,450,200,20,0.0001,mse,1.0881
60,450,60,50,0.0001,mse,1.0884
70,100,20,30,0.0001,mse,1.0884
60,100,60,10,0.0001,mse,1.0899
60,100,80,30,0.0001,mse,1.0906
70,300,80,20,0.0001,mse,1.0906
60,300,60,10,0.0001,mse,1.0909
60,300,200,20,0.0001,mse,1.0910
60,300,200,50,0.0001,mse,1.0913
70,300,100,50,0.0001,mse,1.0915
60,300,20,10,0.0001,mse,1.0917
70,100,60,50,0.0001,mse,1.0932
60,100,200,5,0.0001,mse,1.0937
70,100,60,30,0.0001,mse,1.0954
