Max molecule size,LSTM hidden size,da,r,Learning rate,Loss function,MSE
80,300,20,150,0.0001,mse,0.3672
100,300,40,150,0.0001,mse,0.3945
80,150,20,100,0.0001,mse,0.3951
80,300,40,100,0.0001,mse,0.3951
80,100,40,200,0.0001,mse,0.3952
60,150,80,50,0.0001,mse,0.3987
80,150,80,50,0.0001,mse,0.3989
100,150,80,150,0.0001,mse,0.3993
80,150,200,50,0.0001,mse,0.4002
40,150,20,150,0.0001,mse,0.4021
60,300,80,100,0.0001,mse,0.4042
80,150,100,30,0.0001,mse,0.4069
100,100,20,200,0.0001,mse,0.4081
80,150,80,100,0.0001,mse,0.4085
80,150,20,150,0.0001,mse,0.4099
100,300,80,150,0.0001,mse,0.4104
60,300,20,150,0.0001,mse,0.4116
80,300,20,30,0.0001,mse,0.4126
80,150,20,200,0.0001,mse,0.4128
100,300,60,50,0.0001,mse,0.4129
40,150,20,200,0.0001,mse,0.4135
80,100,100,100,0.0001,mse,0.4135
80,300,80,200,0.0001,mse,0.4138
80,300,200,100,0.0001,mse,0.4140
80,150,200,100,0.0001,mse,0.4149
100,150,100,100,0.0001,mse,0.4150
100,300,60,30,0.0001,mse,0.4152
100,150,20,200,0.0001,mse,0.4155
60,100,100,200,0.0001,mse,0.4159
60,300,100,150,0.0001,mse,0.4166
80,300,80,50,0.0001,mse,0.4176
60,150,200,100,0.0001,mse,0.4179
60,150,60,100,0.0001,mse,0.4184
80,150,60,100,0.0001,mse,0.4186
60,100,100,100,0.0001,mse,0.4188
80,150,200,150,0.0001,mse,0.4188
60,100,80,50,0.0001,mse,0.4191
100,150,20,150,0.0001,mse,0.4200
80,150,80,200,0.0001,mse,0.4208
80,300,20,50,0.0001,mse,0.4209
100,300,80,100,0.0001,mse,0.4213
80,150,40,100,0.0001,mse,0.4214
60,150,40,150,0.0001,mse,0.4216
80,300,20,200,0.0001,mse,0.4221
80,300,80,30,0.0001,mse,0.4221
60,150,200,50,0.0001,mse,0.4223
60,150,80,200,0.0001,mse,0.4224
80,100,200,100,0.0001,mse,0.4228
100,100,60,50,0.0001,mse,0.4232
60,300,80,50,0.0001,mse,0.4234
60,300,80,30,0.0001,mse,0.4242
100,150,40,150,0.0001,mse,0.4245
60,300,40,200,0.0001,mse,0.4248
60,150,200,200,0.0001,mse,0.4250
60,150,40,100,0.0001,mse,0.4262
60,150,40,200,0.0001,mse,0.4266
60,300,60,30,0.0001,mse,0.4272
